Ticker,Year,Name,CAGR of  Market Cap over 1 Month,CAGR of  P/E over 1 Month,Sharpe:M-1,Tkr & Exch,BEst Target Px:D-1,Tot Assets LF,FCF T12M,Governance,Security_Name,Industry,Country
1806854D US Equity,2014,DUN & BRADSTREET CORP,11.6617,29.713,1.3838,1806854D US,115.667,1789200000,297800000,7.32,Dun & Bradstreet Corp/The,Information Services,United States
1806854D US Equity,2015,DUN & BRADSTREET CORP,69.4053,68.1915,2.4016,1806854D US,115,2082400000,319400000,6.95,Dun & Bradstreet Corp/The,Information Services,United States
1806854D US Equity,2016,DUN & BRADSTREET CORP,-76.7587,0,-4.9608,1806854D US,128.6,2016899968,315200000,7.03,Dun & Bradstreet Corp/The,Information Services,United States
1927294D US Equity,2014,L3 TECHNOLOGIES INC,133.6417,171.7321,5.1357,1927294D US,126.182,14040999936,1074000000,6.92,L3 Technologies Inc,Aircraft & Parts,United States
1927294D US Equity,2015,L3 TECHNOLOGIES INC,230.2424,340.6803,9.4943,1927294D US,134.222,13036000256,943000000,6.59,L3 Technologies Inc,Aircraft & Parts,United States
1927294D US Equity,2016,L3 TECHNOLOGIES INC,-79.0801,0,-2.6484,1927294D US,165,11811000320,807000000,6.54,L3 Technologies Inc,Aircraft & Parts,United States
1927294D US Equity,2017,L3 TECHNOLOGIES INC,-17.9777,-17.0347,-1.5042,1927294D US,205.571,12467999744,939000000,6.19,L3 Technologies Inc,Aircraft & Parts,United States
1927294D US Equity,2018,L3 TECHNOLOGIES INC,-64.0922,-65.9658,-1.1432,1927294D US,243.857,13184000000,550000000,NA,L3 Technologies Inc,Aircraft & Parts,United States
2078185D US Equity,2014,TIFFANY & CO,41.5511,41.551,1.5783,2078185D US,107.578,4935824896,-38524000,6.54,Tiffany & Co,Jewelry & Watch Stores,United States
2078185D US Equity,2015,TIFFANY & CO,34.774,34.774,1.9046,2078185D US,98.032,5180499968,517553016,6.81,Tiffany & Co,Jewelry & Watch Stores,United States
2078185D US Equity,2016,TIFFANY & CO,-1.2003,0,2.5225,2078185D US,77.83,5102900224,454000000,6.48,Tiffany & Co,Jewelry & Watch Stores,United States
2078185D US Equity,2017,TIFFANY & CO,-18.4011,-18.4011,-1.4917,2078185D US,95.984,5269600256,573600000,6.55,Tiffany & Co,Jewelry & Watch Stores,United States
2078185D US Equity,2018,TIFFANY & CO,-47.9608,-47.9608,-1.2465,2078185D US,137.783,5170200064,483400000,6.98,Tiffany & Co,Jewelry & Watch Stores,United States
2078185D US Equity,2019,TIFFANY & CO,4585.2988,4585.2992,61,2078185D US,120.25,6315899904,292300000,7.5,Tiffany & Co,Jewelry & Watch Stores,United States
2078185D US Equity,2020,TIFFANY & CO,283.5246,283.5243,16.7602,2078185D US,127.708,6856300032,172900000,NA,Tiffany & Co,Jewelry & Watch Stores,United States
A US Equity,2014,AGILENT TECHNOLOGIES INC,-97.4888,30.2229,1.0339,A       US,45.918,10380000256,730000000,5.63,Agilent Technologies Inc,Life Science & Diagnostics,United States
A US Equity,2015,AGILENT TECHNOLOGIES INC,184.4182,184.4178,10.5946,A       US,44.077,7250999808,304000000,5.91,Agilent Technologies Inc,Life Science & Diagnostics,United States
A US Equity,2016,AGILENT TECHNOLOGIES INC,-55.9144,0,-1.9782,A       US,50.818,7734000128,677000000,6.35,Agilent Technologies Inc,Life Science & Diagnostics,United States
A US Equity,2017,AGILENT TECHNOLOGIES INC,38.4692,38.4692,4.5031,A       US,71.462,8261000192,665000000,6.52,Agilent Technologies Inc,Life Science & Diagnostics,United States
A US Equity,2018,AGILENT TECHNOLOGIES INC,-51.4893,-51.4893,-1.8896,A       US,77.231,8349000192,804000000,6.69,Agilent Technologies Inc,Life Science & Diagnostics,United States
A US Equity,2019,AGILENT TECHNOLOGIES INC,-1.304,-1.304,-0.1725,A       US,82,8625000448,918000000,6.56,Agilent Technologies Inc,Life Science & Diagnostics,United States
A US Equity,2020,AGILENT TECHNOLOGIES INC,232.2155,232.2157,9.8539,A       US,102.857,9546000384,736000000,6.72,Agilent Technologies Inc,Life Science & Diagnostics,United States
AA US Equity,2014,ALCOA CORP,33.4221,31.8559,0.8725,AA      US,18.25,37121998848,-36000000,3.81,Alcoa Corp,Base Metals,United States
AA US Equity,2015,ALCOA CORP,-89.1538,-89.1841,-2.5836,AA      US,12.885,36586999808,924000000,7.99,Alcoa Corp,Base Metals,United States
AAL US Equity,2015,AMERICAN AIRLINES GROUP INC,262.7309,668.409,22.8759,AAL     US,53.834,48715001856,898999936,7.32,American Airlines Group Inc,Airlines,United States
AAL US Equity,2016,AMERICAN AIRLINES GROUP INC,25.1299,0,3.4011,AAL     US,42,51107999744,324000000,7.38,American Airlines Group Inc,Airlines,United States
AAL US Equity,2017,AMERICAN AIRLINES GROUP INC,-67.085,-59.4922,-2.1426,AAL     US,56.176,52401000448,-1089000000,7.76,American Airlines Group Inc,Airlines,United States
AAL US Equity,2018,AMERICAN AIRLINES GROUP INC,-33.1575,-33.277,-0.6183,AAL     US,47.562,52635000832,-950999936,7.64,American Airlines Group Inc,Airlines,United States
AAL US Equity,2019,AMERICAN AIRLINES GROUP INC,519.1022,641.669,30.339,AAL     US,36.421,61175001088,63000000,7.09,American Airlines Group Inc,Airlines,United States
AAL US Equity,2020,AMERICAN AIRLINES GROUP INC,-64.9845,NA,-1.3641,AAL     US,11.467,62772998144,-6504999936,7.2,American Airlines Group Inc,Airlines,United States
AAP US Equity,2015,ADVANCE AUTO PARTS INC,58.4662,58.466,3.981,AAP     US,203.867,8167875072,482534992,7.7,Advance Auto Parts Inc,Automotive Retailers,United States
AAP US Equity,2016,ADVANCE AUTO PARTS INC,-66.9425,0,-3.1612,AAP     US,162.933,8437529088,293300000,8.05,Advance Auto Parts Inc,Automotive Retailers,United States
AAP US Equity,2017,ADVANCE AUTO PARTS INC,-83.9753,-83.9753,-3.0373,AAP     US,100.694,8437412864,331315016,8.18,Advance Auto Parts Inc,Automotive Retailers,United States
AAP US Equity,2018,ADVANCE AUTO PARTS INC,16.6956,16.6956,0.4772,AAP     US,174.889,8835556352,648214992,8.1,Advance Auto Parts Inc,Automotive Retailers,United States
AAP US Equity,2019,ADVANCE AUTO PARTS INC,92.5447,92.5445,5.6622,AAP     US,172.375,11267946496,615896000,8.06,Advance Auto Parts Inc,Automotive Retailers,United States
AAP US Equity,2020,ADVANCE AUTO PARTS INC,9.6602,9.6602,0.403,AAP     US,171.611,11930664960,524143984,8.22,Advance Auto Parts Inc,Automotive Retailers,United States
AAPL US Equity,2014,APPLE INC,118.7183,179.2811,10.771,AAPL    US,116.733,231839006720,50142001152,8.34,Apple Inc,Communications Equipment,United States
AAPL US Equity,2015,APPLE INC,105.9871,168.7593,7.3759,AAPL    US,147.045,290479013888,70019001344,8.38,Apple Inc,Communications Equipment,United States
AAPL US Equity,2016,APPLE INC,-50.472,0,-2.2845,AAPL    US,132.005,321686011904,53090000384,8.33,Apple Inc,Communications Equipment,United States
AAPL US Equity,2017,APPLE INC,261.4326,287.9049,16.3842,AAPL    US,192.727,375319003136,51147000320,7.96,Apple Inc,Communications Equipment,United States
